User Token: GuanJoer | Document URI: http://192.168.0.10/community_site/ | Violated Directive: style-src-elem | Blocked URI: https://fonts.googleapis.com/css2?family=New+Amsterdam&family=Roboto:ital,wght@0,100;0,300;0,400;0,500;0,700;0,900;1,100;1,300;1,400;1,500;1,700;1,900&display=swap
User Token: GuanJoer | Document URI: http://192.168.0.10/community_site/index.php | Violated Directive: font-src | Blocked URI: https://fonts.gstatic.com/s/roboto/v32/KFOiCnqEu92Fr1Mu51QrEzMdL_nz.woff2
User Token: GuanJoer | Document URI: http://192.168.0.10/community_site/index.php | Violated Directive: font-src | Blocked URI: https://fonts.gstatic.com/s/roboto/v32/KFOiCnqEu92Fr1Mu51QrEz8dL_nz.woff2
User Token: GuanJoer | Document URI: http://192.168.0.10/community_site/index.php | Violated Directive: font-src | Blocked URI: https://fonts.gstatic.com/s/roboto/v32/KFOiCnqEu92Fr1Mu51QrEzAdLw.woff2
User Token: GuanJoer | Document URI: http://192.168.0.10/community_site/index.php | Violated Directive: font-src | Blocked URI: https://fonts.gstatic.com/s/roboto/v32/KFOiCnqEu92Fr1Mu51QrEz4dL_nz.woff2
User Token: GuanJoer | Document URI: http://192.168.0.10/community_site/index.php | Violated Directive: font-src | Blocked URI: https://fonts.gstatic.com/s/roboto/v32/KFOjCnqEu92Fr1Mu51TjASc-CsTKlA.woff2
User Token: GuanJoer | Document URI: http://192.168.0.10/community_site/index.php | Violated Directive: font-src | Blocked URI: https://fonts.gstatic.com/s/roboto/v32/KFOjCnqEu92Fr1Mu51TjASc3CsTKlA.woff2
User Token: GuanJoer | Document URI: http://192.168.0.10/community_site/index.php | Violated Directive: font-src | Blocked URI: https://fonts.gstatic.com/s/roboto/v32/KFOjCnqEu92Fr1Mu51TjASc2CsTKlA.woff2
User Token: GuanJoer | Document URI: http://192.168.0.10/community_site/index.php | Violated Directive: font-src | Blocked URI: https://fonts.gstatic.com/s/roboto/v32/KFOjCnqEu92Fr1Mu51TjASc5CsTKlA.woff2
User Token: GuanJoer | Document URI: http://192.168.0.10/community_site/index.php | Violated Directive: font-src | Blocked URI: https://fonts.gstatic.com/s/roboto/v32/KFOkCnqEu92Fr1Mu51xFIzIFKw.woff2

f2
User Token: GuanJoer | Document URI: http://192.168.0.10/community_site/index.php | Violated Directive: font-src | Blocked URI: https://fonts.gstatic.com/s/roboto/v32/KFOjCnqEu92Fr1Mu51TjASc1CsTKlA.woff2
User Token: GuanJoer | Document URI: http://192.168.0.10/community_site/index.php | Violated Directive: font-src | Blocked URI: https://fonts.gstatic.com/s/roboto/v32/KFOkCnqEu92Fr1Mu51xMIzIFKw.woff2
User Token: GuanJoer | Document URI: http://192.168.0.10/community_site/index.php | Violated Directive: font-src | Blocked URI: https://fonts.gstatic.com/s/roboto/v32/KFOkCnqEu92Fr1Mu51xEIzIFKw.woff2
User Token: GuanJoer | Document URI: http://192.168.0.10/community_site/index.php | Violated Directive: font-src | Blocked URI: https://fonts.gstatic.com/s/roboto/v32/KFOkCnqEu92Fr1Mu51xLIzIFKw.woff2
User Token: GuanJoer | Document URI: http://192.168.0.10/community_site/index.php | Violated Directive: font-src | Blocked URI: https://fonts.gstatic.com/s/roboto/v32/KFOkCnqEu92Fr1Mu51xHIzIFKw.woff2
User Token: GuanJoer | Document URI: http://192.168.0.10/community_site/index.php | Violated Directive: font-src | Blocked URI: https://fonts.gstatic.com/s/roboto/v32/KFOkCnqEu92Fr1Mu51xIIzI.woff2
User Token: GuanJoer | Document URI: http://192.168.0.10/community_site/index.php | Violated Directive: font-src | Blocked URI: https://fonts.gstatic.com/s/roboto/v32/KFOjCnqEu92Fr1Mu51S7ACc3CsTKlA.woff2
User Token: GuanJoer | Document URI: http://192.168.0.10/community_site/index.php | Violated Directive: font-src | Blocked URI: https://fonts.gstatic.com/s/roboto/v32/KFOjCnqEu92Fr1Mu51S7ACc-CsTKlA.woff2
User Token: GuanJoer | Document URI: http://192.168.0.10/community_site/index.php | Violated Directive: font-src | Blocked URI: https://fonts.gstatic.com/s/roboto/v32/KFOjCnqEu92Fr1Mu51S7ACc2CsTKlA.woff2
User Token: GuanJoer | Document URI: http://192.168.0.10/community_site/index.php | Violated Directive: font-src | Blocked URI: https://fonts.gstatic.com/s/roboto/v32/KFOjCnqEu92Fr1Mu51S7ACc1CsTKlA.woff2
User Token: GuanJoer | Document URI: http://192.168.0.10/community_site/index.php | Violated Directive: font-src | Blocked URI: https://fonts.gstatic.com/s/roboto/v32/KFOjCnqEu92Fr1Mu51S7ACc6CsQ.woff2
f2
User Token: GuanJoer | Document URI: http://192.168.0.10/community_site/index.php | Violated Directive: font-src | Blocked URI: https://fonts.gstatic.com/s/roboto/v32/KFOjCnqEu92Fr1Mu51TzBic3CsTKlA.woff2
User Token: GuanJoer | Document URI: http://192.168.0.10/community_site/index.php | Violated Directive: font-src | Blocked URI: https://fonts.gstatic.com/s/roboto/v32/KFOjCnqEu92Fr1Mu51TzBic-CsTKlA.woff2
User Token: GuanJoer | Document URI: http://192.168.0.10/community_site/index.php | Violated Directive: font-src | Blocked URI: https://fonts.gstatic.com/s/roboto/v32/KFOjCnqEu92Fr1Mu51TzBic2CsTKlA.woff2
User Token: GuanJoer | Document URI: http://192.168.0.10/community_site/index.php | Violated Directive: font-src | Blocked URI: https://fonts.gstatic.com/s/roboto/v32/KFOjCnqEu92Fr1Mu51TzBic5CsTKlA.woff2
User Token: GuanJoer | Document URI: http://192.168.0.10/community_site/index.php | Violated Directive: font-src | Blocked URI: https://fonts.gstatic.com/s/roboto/v32/KFOjCnqEu92Fr1Mu51TzBic1CsTKlA.woff2
User Token: GuanJoer | Document URI: http://192.168.0.10/community_site/index.php | Violated Directive: font-src | Blocked URI: https://fonts.gstatic.com/s/roboto/v32/KFOjCnqEu92Fr1Mu51TzBic6CsQ.woff2
User Token: GuanJoer | Document URI: http://192.168.0.10/community_site/index.php | Violated Directive: font-src | Blocked URI: https://fonts.gstatic.com/s/roboto/v32/KFOjCnqEu92Fr1Mu51TLBCc3CsTKlA.woff2
User Token: GuanJoer | Document URI: http://192.168.0.10/community_site/index.php | Violated Directive: font-src | Blocked URI: https://fonts.gstatic.com/s/roboto/v32/KFOjCnqEu92Fr1Mu51TLBCc-CsTKlA.woff2
User Token: GuanJoer | Document URI: http://192.168.0.10/community_site/index.php | Violated Directive: font-src | Blocked URI: https://fonts.gstatic.com/s/roboto/v32/KFOjCnqEu92Fr1Mu51TLBCc2CsTKlA.woff2
User Token: GuanJoer | Document URI: http://192.168.0.10/community_site/index.php | Violated Directive: font-src | Blocked URI: https://fonts.gstatic.com/s/roboto/v32/KFOjCnqEu92Fr1Mu51TLBCc5CsTKlA.woff2
User Token: GuanJoer | Document URI: http://192.168.0.10/community_site/index.php | Violated Directive: font-src | Blocked URI: https://fonts.gstatic.com/s/roboto/v32/KFOjCnqEu92Fr1Mu51TLBCc1CsTKlA.woff2
User Token: GuanJoer | Document URI: http://192.168.0.10/community_site/index.php | Violated Directive: font-src | Blocked URI: https://fonts.gstatic.com/s/roboto/v32/KFOjCnqEu92Fr1Mu51TLBCc0CsTKlA.woff2
User Token: GuanJoer | Document URI: http://192.168.0.10/community_site/index.php | Violated Directive: font-src | Blocked URI: https://fonts.gstatic.com/s/roboto/v32/KFOjCnqEu92Fr1Mu51TLBCc6CsQ.woff2
User Token: GuanJoer | Document URI: http://192.168.0.10/community_site/index.php | Violated Directive: font-src | Blocked URI: https://fonts.gstatic.com/s/roboto/v32/KFOkCnqEu92Fr1MmgVxFIzIFKw.woff2
User Token: GuanJoer | Document URI: http://192.168.0.10/community_site/index.php | Violated Directive: font-src | Blocked URI: https://fonts.gstatic.com/s/roboto/v32/KFOkCnqEu92Fr1MmgVxMIzIFKw.woff2
User Token: GuanJoer | Document URI: http://192.168.0.10/community_site/index.php | Violated Directive: font-src | Blocked URI: https://fonts.gstatic.com/s/roboto/v32/KFOkCnqEu92Fr1MmgVxEIzIFKw.woff2
User Token: GuanJoer | Document URI: http://192.168.0.10/community_site/index.php | Violated Directive: font-src | Blocked URI: https://fonts.gstatic.com/s/roboto/v32/KFOkCnqEu92Fr1MmgVxLIzIFKw.woff2
User Token: GuanJoer | Document URI: http://192.168.0.10/community_site/index.php | Violated Directive: font-src | Blocked URI: https://fonts.gstatic.com/s/roboto/v32/KFOkCnqEu92Fr1MmgVxHIzIFKw.woff2
User Token: GuanJoer | Document URI: http://192.168.0.10/community_site/index.php | Violated Directive: font-src | Blocked URI: https://fonts.gstatic.com/s/roboto/v32/KFOkCnqEu92Fr1MmgVxIIzI.woff2
User Token: GuanJoer | Document URI: http://192.168.0.10/community_site/index.php | Violated Directive: font-src | Blocked URI: https://fonts.gstatic.com/s/roboto/v32/KFOlCnqEu92Fr1MmSU5fCRc4EsA.woff2
User Token: GuanJoer | Document URI: http://192.168.0.10/community_site/index.php | Violated Directive: font-src | Blocked URI: https://fonts.gstatic.com/s/roboto/v32/KFOlCnqEu92Fr1MmSU5fABc4EsA.woff2
User Token: GuanJoer | Document URI: http://192.168.0.10/community_site/index.php | Violated Directive: font-src | Blocked URI: https://fonts.gstatic.com/s/roboto/v32/KFOlCnqEu92Fr1MmSU5fBxc4EsA.woff2
User Token: GuanJoer | Document URI: http://192.168.0.10/community_site/index.php | Violated Directive: font-src | Blocked URI: https://fonts.gstatic.com/s/roboto/v32/KFOlCnqEu92Fr1MmSU5fChc4EsA.woff2
User Token: GuanJoer | Document URI: http://192.168.0.10/community_site/index.php | Violated Directive: font-src | Blocked URI: https://fonts.gstatic.com/s/roboto/v32/KFOlCnqEu92Fr1MmSU5fBBc4.woff2
User Token: GuanJoer | Document URI: http://192.168.0.10/community_site/index.php | Violated Directive: script-src-elem | Blocked URI: inline
User Token: GuanJoer | Document URI: http://192.168.0.10/community_site/index.php?test=%3Cscript%3Ealert(1)%3C/script%3E | Violated Directive: script-src-elem | Blocked URI: inline
